,Ticker,date,EPS(E),EPS(ACT),EPS(%),Rev(E),Rev(ACT),Rev(%),YoY(%),Next date,EPS(NE),Rev(NE)
ARCB,ARCB,2021/11/02 06:00,$2.47,$2.59,4.86%,$1.01 B,$1.02 B,0.7%,27.9%,2022/02/01 06:00,$2.21,$1.10 B
GOOGL,GOOGL,2021/10/26 16:05,$23.13,$27.99,21.01%,$63.26 B,$65.12 B,2.9%,41.0%,2022/02/01 16:05,$26.69,$71.98 B
PYPL,PYPL,2021/11/08 16:17,$1.07,$1.18,10.28%,$6.25 B,$6.18 B,-1.1%,13.2%,2022/02/01 16:15,$1.13,$6.88 B
GM,GM,2021/10/27 07:30,$1.07,$1.52,42.06%,$32.86 B,$26.78 B,-18.5%,-24.5%,2022/02/01 17:00,$1.15,$34.25 B
QCOM,QCOM,2021/11/03 16:00,$2.26,$2.44,7.96%,$8.86 B,$9.34 B,5.4%,11.9%,2022/02/02 16:00,$3.00,$10.41 B
BIIB,BIIB,2021/10/20 07:00,$4.15,$4.77,14.94%,$2.68 B,$2.78 B,3.7%,-17.7%,2022/02/03 07:00,$3.36,$2.62 B
ICE,ICE,2021/10/28 07:30,$1.23,$1.30,5.69%,$1.72 B,$2.28 B,32.4%,18.0%,2022/02/03 07:30,$1.32,$1.81 B
U,U,2021/11/09 16:05,-$0.07,-$0.13,-85.71%,$264.2 M,$286.3 M,8.4%,42.6%,2022/02/03 16:05,-$0.07,$294.79 M
REGN,REGN,2021/11/04 06:30,$9.81,$15.37,56.68%,$2.69 B,$3.45 B,28.4%,50.5%,2022/02/04 06:30,$18.70,$4.34 B
BMY,BMY,2021/10/27 06:59,$1.91,$2.00,4.71%,$11.60 B,$11.62 B,0.2%,10.3%,2022/02/04 07:00,$1.84,$12.12 B
BABA,BABA,2021/11/18 06:24,$1.87,$1.70,-9.09%,$31.98 B,$31.15 B,-2.6%,36.4%,2022/02/08 06:25,$1.92,$40.71 B
PFE,PFE,2021/11/02 06:45,$1.08,$1.34,24.07%,$22.38 B,$24.09 B,7.7%,98.6%,2022/02/08 06:45,$0.85,$22.64 B
COIN,COIN,2021/11/09 16:00,$1.79,$1.62,-9.50%,$1.57 B,$1.31 B,-16.4%,,2022/02/08 16:00,$1.94,$1.80 B
ENPH,ENPH,2021/10/26 16:05,$0.68,$0.73,7.35%,$343.3 M,$351.5 M,2.4%,96.9%,2022/02/08 16:05,$0.29,$402.82 M
SEER,SEER,2021/11/09 16:05,-$0.29,-$0.30,-3.45%,$1.2 M,$2.2 M,75.2%,,2022/02/08 16:05,-$0.34,$2.23 M
DOCS,DOCS,2021/11/09 16:09,$0.10,$0.21,110.00%,$73.5 M,$79.4 M,8.0%,,2022/02/08 16:10,$0.10,$86.32 M
SEMR,SEMR,2021/11/09 16:30,-$0.04,$0.00,100.00%,,$49.3 M,,,2022/02/08 16:30,-$0.05,$0.00 M
RDWR,RDWR,2021/11/03 06:00,$0.19,$0.20,5.26%,$71.0 M,$73.4 M,3.5%,17.4%,2022/02/09 06:00,$0.13,$75.40 M
CVS,CVS,2021/11/03 06:41,$1.79,$1.97,10.06%,$70.34 B,$73.79 B,4.9%,10.0%,2022/02/09 06:40,$1.85,$73.85 B
TWLO,TWLO,2021/10/27 16:07,-$0.14,-$0.07,50.00%,$680.5 M,$740.2 M,8.8%,65.2%,2022/02/09 16:05,-$0.94,$764.19 M
MTTR,MTTR,2021/11/03 16:05,-$0.22,-$0.20,9.09%,$29.1 M,$27.7 M,-5.0%,,2022/02/09 16:05,-$0.97,$25.01 M
DIS,DIS,2021/11/10 16:05,$0.50,$0.37,-26.00%,$18.92 B,$18.53 B,-2.0%,26.0%,2022/02/09 16:05,$0.58,$18.75 B
MQ,MQ,2021/11/10 16:05,-$0.13,-$0.01,92.31%,$120.4 M,$131.5 M,9.2%,,2022/02/09 16:05,-$0.09,$138.69 M
XMTR,XMTR,2021/11/10 16:06,-$0.31,-$0.33,-6.45%,$54.6 M,$56.7 M,3.9%,,2022/02/09 16:05,-$0.34,$62.27 M
GDRX,GDRX,2021/11/10 16:07,$0.09,$0.07,-22.22%,$194.7 M,$195.1 M,0.2%,38.9%,2022/02/09 16:05,$0.03,$217.50 M
IAC,IAC,2021/11/04 16:10,-$0.42,$0.33,178.57%,$847.1 M,$924.1 M,9.1%,17.2%,2022/02/09 16:10,-$0.31,$923.30 M
DDOG,DDOG,2021/11/04 16:05,$0.03,$0.05,66.67%,$246.5 M,$270.5 M,9.7%,74.9%,2022/02/10 00:00,-$0.03,$291.07 M
EURN,EURN,,-$0.56,-$0.53,5.36%,$98.5 M,$99.1 M,0.6%,-58.9%,2022/02/10 00:00,-$0.31,$114.87 M
INMD,INMD,2021/10/26 07:30,,$0.52,,,$94.2 M,,57.7%,2022/02/10 07:00,$0.00,N/A
AFRM,AFRM,2021/11/10 16:07,-$0.30,-$0.40,-33.33%,$248.2 M,$269.4 M,8.5%,,2022/02/10 16:05,-$0.43,$328.61 M
COUR,COUR,2021/11/02 16:10,-$0.18,-$0.23,-27.78%,$107.9 M,$109.9 M,1.9%,,2022/02/10 16:10,-$0.26,$111.56 M
NET,NET,2021/11/04 16:15,-$0.04,-$0.01,75.00%,$165.7 M,$172.3 M,4.0%,51.0%,2022/02/10 16:15,-$0.09,$184.65 M
ONON,ONON,2021/11/16 05:00,$0.04,$0.06,50.00%,$201.3 M,$237.5 M,18.0%,,2022/02/15 05:00,$0.00,N/A
MAR,MAR,2021/11/03 07:00,$0.97,$0.99,2.06%,$3.77 B,$3.95 B,4.7%,75.1%,2022/02/15 07:00,$1.02,$3.83 B
PLTR,PLTR,2021/11/09 07:00,$0.03,$0.04,33.33%,$385.0 M,$392.1 M,1.9%,35.5%,2022/02/15 07:00,$0.04,$413.99 M
RPRX,RPRX,2021/11/10 07:00,$0.69,$0.73,5.80%,$603.3 M,$586.0 M,-2.9%,8.9%,2022/02/15 07:00,$0.79,$543.05 M
RBLX,RBLX,2021/11/08 16:06,-$0.16,-$0.13,18.75%,$637.1 M,$509.3 M,-20.1%,,2022/02/15 16:05,-$0.14,$722.27 M
UPST,UPST,2021/11/09 16:05,$0.33,$0.42,27.27%,$214.4 M,$228.5 M,6.5%,,2022/02/15 16:05,$0.17,$270.12 M
DRVN,DRVN,2021/10/27 07:00,$0.22,$0.25,13.64%,$355.4 M,$371.1 M,4.4%,,2022/02/16 07:00,$0.15,$354.92 M
AR,AR,2021/10/27 16:15,$0.31,$0.19,-38.71%,$1.20 B,$534.4 M,-55.5%,40.4%,2022/02/16 16:15,$0.58,$1.37 B
AI,AI,2021/12/01 16:20,-$0.28,-$0.04,85.71%,$56.9 M,$58.3 M,2.4%,,2022/02/16 16:20,-$0.63,$66.86 M
NTR,NTR,2021/11/01 17:01,$1.23,$1.38,12.20%,$5.77 B,$6.02 B,4.4%,43.3%,2022/02/16 17:00,$2.31,$6.13 B
SBLK,SBLK,2021/11/16 17:03,$2.16,$2.19,1.39%,$389.8 M,$415.7 M,6.6%,107.6%,2022/02/16 17:00,$2.52,$450.51 M
CF,CF,2021/11/03 19:00,$0.97,$0.96,-1.03%,$1.44 B,$1.36 B,-5.4%,60.8%,2022/02/16 19:00,$3.25,$2.08 B
WST,WST,2021/10/28 06:00,$1.82,$2.06,13.19%,$687.1 M,$706.5 M,2.8%,28.9%,2022/02/17 06:00,$1.92,$709.10 M
TTD,TTD,2021/11/08 07:30,$0.15,$0.18,20.00%,$283.5 M,$301.1 M,6.2%,39.3%,2022/02/17 07:30,$0.08,$389.88 M
DKNG,DKNG,2021/11/05 07:00,-$1.11,-$1.35,-21.62%,$232.5 M,$212.8 M,-8.4%,60.2%,2022/02/18 07:00,-$0.82,$439.35 M
KOS,KOS,2021/11/08 02:00,,-$0.11,,$209.3 M,$200.5 M,-4.2%,-10.8%,2022/02/21 02:00,$0.00,$506.85 M
ZM,ZM,2021/11/22 16:05,$1.09,$1.10,0.92%,$1.02 B,$1.05 B,3.0%,35.2%,2022/02/21 16:05,$0.67,$1.04 B
SPCE,SPCE,2021/11/08 16:05,-$0.25,-$0.32,-28.00%,$1.6 M,$2.6 M,57.3%,,2022/02/22 16:05,-$0.39,$0.00 M
MTDR,MTDR,2021/10/26 16:15,$1.02,$1.25,22.55%,$381.7 M,$472.4 M,23.7%,132.2%,2022/02/22 16:15,$1.06,$425.70 M
MAXR,MAXR,2021/11/03 16:01,$0.15,$0.19,26.67%,$453.0 M,$437.0 M,-3.5%,0.2%,2022/02/23 16:00,$0.06,$467.50 M
NVDA,NVDA,2021/11/17 16:20,$1.10,$1.16,5.45%,$6.82 B,$7.10 B,4.1%,50.3%,2022/02/23 16:20,$1.01,$7.42 B
VALE,VALE,,$1.08,$1.16,7.41%,$16.15 B,$12.68 B,-21.5%,17.8%,2022/02/24 00:00,$0.74,$11.01 B
DOCN,DOCN,2021/11/04 07:00,$0.07,$0.03,-57.14%,$108.1 M,$111.4 M,3.1%,,2022/02/24 07:00,-$0.02,$119.05 M
SQ,SQ,2021/11/04 16:05,$0.34,$0.28,-17.65%,$4.61 B,$3.84 B,-16.6%,26.7%,2022/02/24 16:05,$0.25,$3.97 B
VLDR,VLDR,2021/11/04 16:05,-$0.14,-$0.20,-42.86%,$20.4 M,$13.1 M,-35.9%,-59.3%,2022/02/24 16:05,-$0.19,$17.00 M
ABNB,ABNB,2021/11/04 16:07,$0.84,$1.22,45.24%,$2.04 B,$2.24 B,9.7%,,2022/02/24 16:05,$0.05,$1.47 B
BIGC,BIGC,2021/11/04 16:05,-$0.14,-$0.08,42.86%,$54.8 M,$59.3 M,8.1%,49.2%,2022/02/28 16:05,-$0.22,$61.76 M
OKTA,OKTA,2021/12/01 16:01,-$0.24,$0.16,166.67%,$326.8 M,$350.7 M,7.3%,61.3%,2022/03/02 16:00,-$1.27,$358.75 M
CRWD,CRWD,2021/12/01 16:05,$0.11,$0.05,-54.55%,$363.5 M,$380.1 M,4.5%,63.5%,2022/03/02 16:05,-$0.16,$410.37 M
COST,COST,2021/12/09 16:15,$2.59,$2.97,14.67%,$49.05 B,$50.36 B,2.7%,16.6%,2022/03/10 16:15,$2.64,$50.11 B
RIVN,RIVN,2021/12/16 16:10,-$11.92,-$7.68,35.57%,,$1.0 M,,,2022/03/17 16:10,-$1.58,$62.90 M
CCL,CCL,2021/12/20 09:15,-$1.45,-$1.72,-18.62%,$1.34 B,$1.29 B,-4.0%,"3,685.3%",2022/03/21 09:15,-$1.03,$2.29 B
MU,MU,2021/12/20 16:02,$2.01,$2.07,2.99%,$7.66 B,$7.69 B,0.4%,33.2%,2022/03/21 16:00,$1.85,$7.52 B
NKE,NKE,2021/12/20 16:15,$0.63,$0.83,31.75%,$11.25 B,$11.36 B,1.0%,1.0%,2022/03/21 16:15,$0.72,$10.64 B
TSM,TSM,2022/01/13 05:00,$1.12,$1.15,2.68%,$16.10 B,$15.74 B,-2.3%,24.1%,2022/04/14 05:00,$1.27,$16.97 B
DAL,DAL,2022/01/13 06:30,$0.15,$0.22,46.67%,$9.14 B,$9.47 B,3.6%,138.4%,2022/04/14 06:30,-$1.16,$8.68 B
PG,PG,2022/01/19 06:58,$1.65,$1.66,0.61%,$20.41 B,$20.95 B,2.7%,6.1%,2022/04/20 07:00,$1.30,$18.80 B
NFLX,NFLX,2022/01/20 16:00,$0.82,$1.33,62.20%,$7.72 B,$7.71 B,-0.1%,16.0%,2022/04/21 16:00,$2.90,N/A
MSFT,MSFT,2022/01/25 16:16,$2.29,$2.48,8.30%,$50.84 B,$51.73 B,1.7%,20.1%,2022/04/26 16:10,$2.18,N/A
FCX,FCX,2022/01/26 08:00,$0.97,$0.96,-1.03%,$6.52 B,$6.16 B,-5.5%,37.1%,2022/04/27 07:45,$0.94,N/A
TSLA,TSLA,2022/01/26 16:09,$2.26,$2.54,12.39%,$15.75 B,$17.72 B,12.5%,64.9%,2022/04/27 16:10,$1.43,N/A
ZKIN,ZKIN,,,,,,,,,2022/09/17 00:00,$0.00,N/A
V,V,2022/01/27 16:05,$1.69,$1.81,7.10%,$6.77 B,$7.06 B,4.3%,24.1%,,$1.63,N/A
AAPL,AAPL,2022/01/27 16:30,$1.89,$2.10,11.11%,$118.17 B,$123.95 B,4.9%,11.2%,,$1.38,N/A
CAT,CAT,2022/01/28 06:30,$2.23,$2.69,20.63%,$13.21 B,$13.80 B,4.5%,22.8%,,$2.23,$13.21 B
