,Ticker,date,EPS(E),EPS(ACT),EPS(%),Rev(E),Rev(ACT),Rev(%),YoY(%),Next date,EPS(NE),Rev(NE)
AAPL,AAPL,1/27/22 16:30,$1.89 ,$2.10 ,11.11%,$118.17 B,$123.95 B,4.90%,11.20%,,$1.38 ,N/A
ABNB,ABNB,11/4/21 16:07,$0.84 ,$1.22 ,45.24%,$2.04 B,$2.24 B,9.70%,,2/24/22 16:05,$0.05 ,$1.47 B
AFRM,AFRM,11/10/21 16:07,($0.30),($0.40),-33.33%,$248.2 M,$269.4 M,8.50%,,2/10/22 16:05,($0.43),$328.61 M
AI,AI,12/1/21 16:20,($0.28),($0.04),85.71%,$56.9 M,$58.3 M,2.40%,,2/16/22 16:20,($0.63),$66.86 M
AR,AR,10/27/21 16:15,$0.31 ,$0.19 ,-38.71%,$1.20 B,$534.4 M,-55.50%,40.40%,2/16/22 16:15,$0.58 ,$1.37 B
ARCB,ARCB,11/2/21 6:00,$2.47 ,$2.59 ,4.86%,$1.01 B,$1.02 B,0.70%,27.90%,2/1/22 6:00,$2.21 ,$1.10 B
BABA,BABA,11/18/21 6:24,$1.87 ,$1.70 ,-9.09%,$31.98 B,$31.15 B,-2.60%,36.40%,2/8/22 6:25,$1.92 ,$40.71 B
BIGC,BIGC,11/4/21 16:05,($0.14),($0.08),42.86%,$54.8 M,$59.3 M,8.10%,49.20%,2/28/22 16:05,($0.22),$61.76 M
BIIB,BIIB,10/20/21 7:00,$4.15 ,$4.77 ,14.94%,$2.68 B,$2.78 B,3.70%,-17.70%,2/3/22 7:00,$3.36 ,$2.62 B
BMY,BMY,10/27/21 6:59,$1.91 ,$2.00 ,4.71%,$11.60 B,$11.62 B,0.20%,10.30%,2/4/22 7:00,$1.84 ,$12.12 B
CAT,CAT,1/28/22 6:30,$2.23 ,$2.69 ,20.63%,$13.21 B,$13.80 B,4.50%,22.80%,,$2.23 ,$13.21 B
CCL,CCL,12/20/21 9:15,($1.45),($1.72),-18.62%,$1.34 B,$1.29 B,-4.00%,3685.30%,3/21/22 9:15,($1.03),$2.29 B
CF,CF,11/3/21 19:00,$0.97 ,$0.96 ,-1.03%,$1.44 B,$1.36 B,-5.40%,60.80%,2/16/22 19:00,$3.25 ,$2.08 B
COIN,COIN,11/9/21 16:00,$1.79 ,$1.62 ,-9.50%,$1.57 B,$1.31 B,-16.40%,,2/8/22 16:00,$1.94 ,$1.80 B
COST,COST,12/9/21 16:15,$2.59 ,$2.97 ,14.67%,$49.05 B,$50.36 B,2.70%,16.60%,3/10/22 16:15,$2.64 ,$50.11 B
COUR,COUR,11/2/21 16:10,($0.18),($0.23),-27.78%,$107.9 M,$109.9 M,1.90%,,2/10/22 16:10,($0.26),$111.56 M
CRWD,CRWD,12/1/21 16:05,$0.11 ,$0.05 ,-54.55%,$363.5 M,$380.1 M,4.50%,63.50%,3/2/22 16:05,($0.16),$410.37 M
CVS,CVS,11/3/21 6:41,$1.79 ,$1.97 ,10.06%,$70.34 B,$73.79 B,4.90%,10.00%,2/9/22 6:40,$1.85 ,$73.85 B
DAL,DAL,1/13/22 6:30,$0.15 ,$0.22 ,46.67%,$9.14 B,$9.47 B,3.60%,138.40%,4/14/22 6:30,($1.16),$8.68 B
DDOG,DDOG,11/4/21 16:05,$0.03 ,$0.05 ,66.67%,$246.5 M,$270.5 M,9.70%,74.90%,2/10/22 0:00,($0.03),$291.07 M
DIS,DIS,11/10/21 16:05,$0.50 ,$0.37 ,-26.00%,$18.92 B,$18.53 B,-2.00%,26.00%,2/9/22 16:05,$0.58 ,$18.75 B
DKNG,DKNG,11/5/21 7:00,($1.11),($1.35),-21.62%,$232.5 M,$212.8 M,-8.40%,60.20%,2/18/22 7:00,($0.82),$439.35 M
DOCN,DOCN,11/4/21 7:00,$0.07 ,$0.03 ,-57.14%,$108.1 M,$111.4 M,3.10%,,2/24/22 7:00,($0.02),$119.05 M
DOCS,DOCS,11/9/21 16:09,$0.10 ,$0.21 ,110.00%,$73.5 M,$79.4 M,8.00%,,2/8/22 16:10,$0.10 ,$86.32 M
DRVN,DRVN,10/27/21 7:00,$0.22 ,$0.25 ,13.64%,$355.4 M,$371.1 M,4.40%,,2/16/22 7:00,$0.15 ,$354.92 M
ENPH,ENPH,10/26/21 16:05,$0.68 ,$0.73 ,7.35%,$343.3 M,$351.5 M,2.40%,96.90%,2/8/22 16:05,$0.29 ,$402.82 M
EURN,EURN,,($0.56),($0.53),5.36%,$98.5 M,$99.1 M,0.60%,-58.90%,2/10/22 0:00,($0.31),$114.87 M
FCX,FCX,1/26/22 8:00,$0.97 ,$0.96 ,-1.03%,$6.52 B,$6.16 B,-5.50%,37.10%,4/27/22 7:45,$0.94 ,N/A
GDRX,GDRX,11/10/21 16:07,$0.09 ,$0.07 ,-22.22%,$194.7 M,$195.1 M,0.20%,38.90%,2/9/22 16:05,$0.03 ,$217.50 M
GM,GM,10/27/21 7:30,$1.07 ,$1.52 ,42.06%,$32.86 B,$26.78 B,-18.50%,-24.50%,2/1/22 17:00,$1.15 ,$34.25 B
GOOGL,GOOGL,10/26/21 16:05,$23.13 ,$27.99 ,21.01%,$63.26 B,$65.12 B,2.90%,41.00%,2/1/22 16:05,$26.69 ,$71.98 B
IAC,IAC,11/4/21 16:10,($0.42),$0.33 ,178.57%,$847.1 M,$924.1 M,9.10%,17.20%,2/9/22 16:10,($0.31),$923.30 M
