,Ticker,Close,Adj Close,Volume,Max,min,max drop,YTD,1d,1mo,1wk,Market Cap,PER
AAPL,AAPL,149.48,149.48,61314200.0,156.69,116.36,-4.60%,12.65%,0.15%,4.22%,3.20%,2.471T,29.26
AFRM,AFRM,155.34,155.34,9485500.0,157.25,48.37,-1.21%,,5.22%,43.69%,5.87%,42.233B,
AI,AI,47.48,47.48,1089500.0,177.47,43.14,-73.25%,-65.78%,0.11%,1.50%,4.81%,4.943B,
AR,AR,19.58,19.58,6705600.0,67.41,7.54,-70.95%,259.27%,-5.59%,19.17%,-0.05%,6.145B,
BABA,BABA,177.42,177.42,16407300.0,317.14,139.63,-44.06%,-23.77%,0.14%,18.14%,5.61%,491.001B,21.24
BIGC,BIGC,54.35,54.35,1441200.0,141.00,42.74,-61.45%,-15.28%,0.82%,0.74%,1.42%,3.93B,
BIIB,BIIB,270.21,270.21,1373000.0,475.98,259.00,-43.23%,10.35%,1.37%,-8.57%,-3.90%,40.27B,26.45
BMY,BMY,57.81,57.81,7158400.0,76.77,56.94,-24.70%,-6.80%,-0.45%,-4.18%,-0.94%,128.46B,
COST,COST,477.23,477.23,1421800.0,477.23,311.42,0.00%,26.66%,1.59%,5.56%,5.49%,210.852B,42.35
CAT,CAT,202.14,202.14,3069600.0,244.79,188.94,-17.42%,11.05%,-1.00%,6.48%,1.57%,110.666B,25.37
COIN,COIN,300.01,300.01,8270700.0,342.00,220.61,-12.28%,,-4.67%,25.81%,6.91%,78.573B,22.1
COUR,COUR,33.36,33.36,824700.0,58.00,30.49,-42.48%,,0.63%,-10.87%,1.00%,4.595B,
CRWD,CRWD,284.10,284.10,1947900.0,286.37,173.85,-0.79%,34.12%,0.27%,11.80%,4.02%,64.83B,
CVS,CVS,86.86,86.86,5347200.0,113.45,68.13,-23.44%,27.17%,0.36%,3.49%,1.19%,114.618B,15.9
DDOG,DDOG,160.92,160.92,1327600.0,160.92,71.36,0.00%,63.47%,1.30%,10.69%,4.17%,49.888B,
DAL,DAL,40.40,40.40,10674400.0,63.16,37.93,-36.04%,0.47%,0.25%,0.10%,-1.44%,25.857B,
DIS,DIS,171.34,171.34,7502100.0,201.91,169.17,-15.14%,-5.43%,0.46%,0.10%,-2.90%,311.347B,280.89
DKNG,DKNG,48.92,48.92,7281600.0,71.98,40.99,-32.04%,5.07%,-0.35%,-7.30%,1.75%,19.735B,
DOCS,DOCS,67.87,67.87,2765700.0,102.02,46.82,-33.47%,,-6.62%,-22.03%,-2.88%,12.602B,218.94
DRVN,DRVN,30.77,30.77,556700.0,34.50,22.79,-10.81%,,3.64%,3.39%,5.16%,5.15B,370.72
GDRX,GDRX,47.00,47.00,1198700.0,57.16,28.27,-17.77%,16.51%,1.95%,1.38%,10.80%,18.595B,
EURN,EURN,10.66,10.66,763100.0,16.32,7.75,-34.68%,33.25%,-2.20%,23.24%,-1.93%,2.15B,
GM,GM,58.41,58.41,11571900.0,63.92,48.18,-8.62%,40.27%,1.28%,18.31%,0.71%,84.795B,6.78
IAC,IAC,153.11,153.11,437300.0,175.18,124.28,-12.60%,21.53%,3.63%,17.59%,1.02%,13.663B,12.07
ICE,ICE,129.61,129.61,1758900.0,130.91,109.81,-0.99%,12.42%,-0.47%,11.02%,0.17%,72.991B,25.85
KOS,KOS,3.97,3.97,8122100.0,19.24,1.84,-79.37%,68.94%,-3.41%,71.86%,4.20%,1.793B,
