,Ticker,Sales,Op Income%,Net Income,EPS,OpCF
DDOG,DDOG,0.18,-5.03%,-0.02,0.06,0.02
DAL,DAL,4.15,-60.75%,-1.18,-3.55,0.69
DIS,DIS,16.25,1.39%,0.02,,0.08
DKNG,DKNG,0.32,-82.68%,-0.65,-0.68,-0.10
DOCS,DOCS,0.06,30.55%,0.02,,0.04
DRVN,DRVN,0.29,8.15%,-0.01,0.01,0.02
GDRX,GDRX,0.15,-190.18%,-0.30,0.08,0.01
EURN,EURN,0.24,23.97%,0.05,-0.29,0.31
GM,GM,37.52,7.80%,2.85,1.93,6.69
IAC,IAC,0.85,3.41%,0.51,5.59,-0.01
ICE,ICE,1.67,47.88%,0.53,1.13,1.07
KOS,KOS,0.22,-4.30%,-0.04,-0.12,0.08
MAR,MAR,0.47,54.41%,0.10,0.12,0.12
MAXR,MAXR,0.47,4.93%,-0.04,0.99,0.06
MSFT,MSFT,43.08,41.55%,15.46,2.03,12.52
