,Ticker,Close,Adj Close,Volume,Max,min,max drop,YTD,1d,1mo,1wk
6758.T,6758.T,11520.00,11520.00,4555800.0,16300.00,10500.00,-29.33%,-24.95%,0.00%,-8.43%,3.32%
AAPL,AAPL,154.73,154.73,96751562.0,182.01,133.11,-14.99%,-12.86%,-2.39%,-12.22%,-2.87%
ABNB,ABNB,145.14,145.14,4521992.0,216.84,131.59,-33.07%,-12.82%,-4.39%,-14.39%,10.30%
ACWI,ACWI,92.85,92.85,2969121.0,107.23,92.11,-13.41%,-12.22%,-1.38%,-9.92%,0.68%
AFRM,AFRM,30.86,30.86,14035158.0,168.52,30.86,-81.69%,-69.31%,-15.57%,-58.68%,-8.05%
AI,AI,18.00,18.00,5210345.0,177.47,18.00,-89.86%,-42.40%,-9.82%,-32.69%,-11.68%
AMPL-USD,AMPL-USD,0.93,0.93,2663922.0,3.84,0.71,-75.83%,nan%,nan%,nan%,nan%
AR,AR,26.67,26.67,6727377.0,67.41,11.38,-60.44%,52.40%,0.34%,38.11%,1.60%
ARCB,ARCB,84.01,84.01,212993.0,121.82,53.72,-31.04%,-29.90%,-2.15%,-7.38%,4.89%
BABA,BABA,86.71,86.71,39224102.0,317.14,86.71,-72.66%,-27.01%,-6.68%,-31.45%,-12.11%
BIGC,BIGC,19.15,19.15,2313421.0,141.00,19.15,-86.42%,-45.86%,-7.04%,-42.15%,-8.33%
BIIB,BIIB,197.67,197.67,750736.0,475.98,197.67,-58.47%,-17.61%,-0.49%,-12.85%,-3.94%
BMY,BMY,68.87,68.87,11358193.0,76.77,53.63,-10.29%,10.46%,0.66%,2.58%,0.15%
BNB-USD,BNB-USD,373.30,373.30,1555144192.0,675.68,333.03,-44.75%,-27.05%,0.31%,-6.57%,-2.11%
BTC-USD,BTC-USD,38931.54,38931.54,26351452160.0,67566.83,35030.25,-42.38%,-15.93%,-1.28%,-2.75%,2.28%
CADJPY=X,CADJPY=X,92.01,92.01,0.0,124.82,85.12,-26.28%,1.93%,1.04%,0.96%,2.11%
CAT,CAT,214.83,214.83,3529940.0,244.79,182.83,-12.24%,3.91%,1.44%,5.52%,9.22%
CCL,CCL,17.21,17.21,28346981.0,71.94,15.53,-76.08%,-14.46%,-2.49%,-25.79%,10.82%
CF,CF,96.05,96.05,3602626.0,97.25,43.34,-1.23%,35.70%,-1.23%,31.50%,0.38%
CNYJPY=X,CNYJPY=X,18.48,18.48,0.0,20.21,16.81,-8.57%,2.47%,0.66%,1.30%,1.39%
COIN,COIN,160.07,160.07,3644737.0,357.39,160.07,-55.21%,-36.57%,-7.46%,-25.38%,-0.66%
COST,COST,527.42,527.42,1732886.0,567.77,394.51,-7.11%,-7.10%,-0.99%,-0.27%,-0.21%
COUR,COUR,17.59,17.59,701786.0,58.00,16.75,-69.67%,-28.03%,-1.35%,-20.80%,5.01%
CRV-USD,CRV-USD,1.98,1.98,172442560.0,11.61,1.98,-82.92%,-62.89%,-3.00%,-29.51%,-0.37%
CRWD,CRWD,190.54,190.54,7972452.0,293.18,156.77,-35.01%,-6.94%,-0.25%,1.95%,13.82%
CVS,CVS,103.47,103.47,4798222.0,113.45,80.05,-8.80%,0.30%,-0.59%,-1.26%,-1.04%
CVX-USD,CVX-USD,16.07,16.07,13839790.0,50.02,8.30,-67.87%,-67.16%,-1.21%,-38.27%,2.88%
DAL,DAL,32.07,32.07,16951837.0,63.16,30.11,-49.22%,-17.94%,-1.47%,-26.91%,6.51%
DDOG,DDOG,127.02,127.02,4310357.0,196.56,103.48,-35.38%,-28.68%,-9.38%,-18.32%,-2.37%
DIA,DIA,330.02,330.02,6640571.0,367.87,326.53,-10.29%,-9.17%,-0.63%,-7.73%,0.47%
DIS,DIS,131.75,131.75,7044939.0,201.91,131.75,-34.75%,-14.94%,-1.41%,-10.51%,-1.31%
DKNG,DKNG,16.11,16.11,27225536.0,71.98,16.11,-77.62%,-41.35%,-8.36%,-31.21%,-10.75%
DOCN,DOCN,48.20,48.20,1515002.0,130.26,46.92,-63.00%,-40.00%,-6.68%,-23.61%,0.29%
DOCS,DOCS,46.41,46.41,2244940.0,102.02,40.56,-54.51%,-7.42%,-7.09%,-24.88%,-11.24%
DRVN,DRVN,26.07,26.07,364594.0,34.50,25.36,-24.43%,-22.46%,-3.19%,-13.22%,2.80%
ENPH,ENPH,171.07,171.07,2769734.0,267.74,119.97,-36.11%,-6.49%,-4.28%,5.67%,7.72%
EPOL,EPOL,17.12,17.12,205398.0,39.65,15.37,-56.82%,-18.71%,0.77%,-20.81%,11.39%
ERX,ERX,55.78,55.78,8341590.0,1350.30,20.08,-95.87%,88.19%,-1.64%,23.68%,1.03%
ETH-USD,ETH-USD,2575.70,2575.70,12366307328.0,4812.09,2405.18,-46.47%,-30.06%,-1.24%,-7.54%,3.12%
EURJPY=X,EURJPY=X,127.98,127.98,0.0,169.55,124.99,-24.52%,-1.76%,0.02%,-3.37%,2.10%
EURN,EURN,10.58,10.58,2185284.0,16.32,7.75,-35.17%,19.01%,-7.60%,11.25%,-9.96%
EWW,EWW,49.15,49.15,1699484.0,76.71,44.23,-35.93%,-2.87%,-0.14%,-2.17%,4.60%
EWY,EWY,67.11,67.11,5425804.0,96.22,67.11,-30.25%,-13.82%,-1.50%,-9.92%,0.00%
EWZ,EWZ,33.37,33.37,29590026.0,100.47,26.52,-66.79%,18.88%,-2.54%,3.57%,1.03%
FAS,FAS,100.26,100.26,1512656.0,152.77,94.52,-34.37%,-23.31%,-1.93%,-31.29%,4.64%
FCX,FCX,46.93,46.93,14214150.0,62.93,30.48,-25.43%,12.46%,-1.63%,7.74%,-0.47%
FXI,FXI,29.07,29.07,54434733.0,72.84,29.07,-60.09%,-20.53%,-4.22%,-25.02%,-8.35%
