,Ticker,Close12,Close12_2,Close1,Close2,Close3,Close4,Close5,Close6,Close7,Close8,Close9,Close10,Close11
AAPL,AAPL,177.57,132.69,131.96,121.26,122.15,131.46,124.61,136.96,145.86,151.83,141.50,149.80,165.30
ABNB,ABNB,166.49,146.80,183.63,206.35,187.94,172.71,140.40,153.14,144.01,154.99,167.75,170.66,172.54
AFRM,AFRM,100.56,,99.59,93.06,70.72,70.50,60.81,67.35,56.32,96.34,119.13,162.50,126.68
AI,AI,31.25,138.75,139.60,112.46,65.91,66.26,61.71,62.53,50.35,51.54,46.34,45.12,36.96
AR,AR,17.50,5.45,6.94,9.00,10.20,9.02,12.91,15.03,13.60,13.72,18.81,19.87,17.56
ARCB,ARCB,119.85,42.67,46.35,58.99,70.37,72.76,77.84,58.19,59.11,66.73,81.77,89.85,103.08
BABA,BABA,118.79,232.73,253.83,237.76,226.73,230.95,213.96,226.78,195.19,166.99,148.05,164.94,127.53
BIGC,BIGC,35.37,64.15,79.94,59.11,57.80,59.94,54.39,64.92,64.76,59.54,50.64,46.21,45.27
BIIB,BIIB,239.92,244.86,282.61,272.88,279.75,267.33,267.48,346.27,326.73,338.91,282.99,266.68,235.74
BMY,BMY,62.35,62.03,61.43,61.33,63.13,62.42,65.72,66.82,67.87,66.86,59.17,58.40,53.63
CAT,CAT,206.74,182.02,182.84,215.88,231.87,228.11,241.08,217.63,206.75,210.87,191.97,204.01,193.35
CCL,CCL,20.12,21.66,18.67,26.75,26.54,27.96,29.56,26.36,21.65,24.14,25.01,22.16,17.62
COST,COST,567.70,376.78,352.43,331.00,352.48,372.09,378.27,395.67,429.72,455.49,449.35,491.54,539.38
COIN,COIN,252.37,,,,,297.64,236.54,253.30,236.58,259.00,227.48,319.42,315.00
COUR,COUR,24.44,,,,45.00,44.70,38.00,39.56,35.59,38.47,31.65,34.91,29.99
CRWD,CRWD,204.75,211.82,215.80,216.00,182.51,208.51,222.15,251.31,253.61,281.00,245.78,281.80,217.14
CVS,CVS,103.16,68.30,71.65,68.13,75.23,76.40,86.44,83.44,82.36,86.39,84.86,89.28,89.06
DDOG,DDOG,178.11,98.44,102.75,95.41,83.34,85.77,91.05,104.08,110.70,137.80,141.35,167.05,178.29
DAL,DAL,39.08,40.21,37.96,47.94,48.28,46.92,47.68,43.26,39.90,40.44,42.61,39.13,36.20
DIS,DIS,154.89,181.18,168.17,189.04,184.52,186.02,178.65,175.77,176.02,181.30,169.17,169.07,144.90
DKNG,DKNG,27.47,46.56,54.11,61.53,61.33,56.66,49.95,52.17,48.50,59.29,48.16,46.59,34.55
DOCN,DOCN,80.33,,,,42.13,43.57,42.04,55.59,51.50,61.68,77.63,97.59,100.81
DOCS,DOCS,50.13,,,,,,,58.20,61.90,92.00,80.70,69.48,67.65
DRVN,DRVN,33.62,,28.10,28.50,25.42,28.52,29.62,30.92,31.82,29.88,28.89,32.47,30.86
ENPH,ENPH,182.94,175.47,182.35,176.06,162.16,139.25,143.05,183.63,189.60,173.73,149.97,231.63,250.00
EURN,EURN,8.89,8.00,7.90,8.83,9.15,8.52,9.63,9.32,8.65,8.17,9.76,10.55,9.47
FCX,FCX,41.73,26.02,26.91,33.91,32.93,37.71,42.72,37.11,38.10,36.39,32.53,37.72,37.08
GDRX,GDRX,32.68,40.34,46.62,44.52,39.02,40.01,37.11,36.01,32.07,38.02,41.02,44.60,39.92
